"Model","Fold","Feature","Accuracy_drop","F1_drop"
"Logistic Regression",1,"genre",0.0171428571428571,0.0782917344908663
"Logistic Regression",1,"year",0.00457142857142856,0.0131578947368421
"Logistic Regression",1,"runtime",0.00342857142857145,0.00392165266586664
"Logistic Regression",1,"rating",-0.00114285714285711,-0.00524158757549609
"Logistic Regression",1,"vote_count",0.00457142857142856,0.0213157894736842
"Logistic Regression",1,"popularity",0.0617142857142857,0.198613086770981
"Decision Tree",1,"genre",0.0125714285714286,0.0514736221632774
"Decision Tree",1,"year",0.00914285714285712,0.0139482377710524
"Decision Tree",1,"runtime",0,0
"Decision Tree",1,"rating",0,0
"Decision Tree",1,"vote_count",0.00571428571428578,0.0629115306600095
"Decision Tree",1,"popularity",0.101714285714286,0.388198008887664
"Random Forest",1,"genre",-0.00342857142857145,0.0054354915858591
"Random Forest",1,"year",0.00685714285714289,0.00856009031033789
"Random Forest",1,"runtime",-0.0125714285714286,-0.0234733749750434
"Random Forest",1,"rating",-0.00342857142857145,-0.00677239121846607
"Random Forest",1,"vote_count",0,0.0308383615993267
"Random Forest",1,"popularity",0.0708571428571428,0.281434871013899
"XGBoost",1,"genre",0.0114285714285715,0.0451620290850796
"XGBoost",1,"year",0.00228571428571434,0.0126318618558087
"XGBoost",1,"runtime",0.00114285714285711,0.0110946413331536
"XGBoost",1,"rating",0.00342857142857145,0.00694352889474847
"XGBoost",1,"vote_count",0.0102857142857142,0.0661471111752538
"XGBoost",1,"popularity",0.056,0.231526073222516
"Logistic Regression",2,"genre",0.0331428571428571,0.135966531315368
"Logistic Regression",2,"year",-0.00342857142857134,-0.00449982692973344
"Logistic Regression",2,"runtime",-0.00342857142857134,-0.0108262108262108
"Logistic Regression",2,"rating",0.00228571428571434,0.00943179204048766
"Logistic Regression",2,"vote_count",0.00457142857142867,0.0223619846261356
"Logistic Regression",2,"popularity",0.0697142857142857,0.257752667922159
"Decision Tree",2,"genre",0.0137142857142858,0.0445540439444737
"Decision Tree",2,"year",0.0205714285714286,0.0443886544522193
"Decision Tree",2,"runtime",0,0
"Decision Tree",2,"rating",0,0
"Decision Tree",2,"vote_count",0.0285714285714286,0.118645340542164
"Decision Tree",2,"popularity",0.0971428571428572,0.334475886807493
"Random Forest",2,"genre",0.00800000000000001,0.0418581418581419
"Random Forest",2,"year",0.0114285714285715,0.0216739558641873
"Random Forest",2,"runtime",-0.00685714285714289,-0.00554112554112562
"Random Forest",2,"rating",-0.00114285714285722,-0.00759240759240765
"Random Forest",2,"vote_count",0.0102857142857142,0.0449506777375629
"Random Forest",2,"popularity",0.0742857142857143,0.304566401340595
"XGBoost",2,"genre",0.0148571428571428,0.0557484291165754
"XGBoost",2,"year",0.0228571428571428,0.0477125373597534
"XGBoost",2,"runtime",0.0114285714285713,0.043980905087471
"XGBoost",2,"rating",0.00114285714285711,-0.000392321324693135
"XGBoost",2,"vote_count",0.0102857142857142,0.0593698077379541
"XGBoost",2,"popularity",0.0674285714285714,0.285019158387305
"Logistic Regression",3,"genre",0.0205949656750571,0.126413155190134
"Logistic Regression",3,"year",0.00457665903890159,0.0168067226890756
"Logistic Regression",3,"runtime",0.00915331807780317,0.0419047619047618
"Logistic Regression",3,"rating",0.00686498855835238,0.0272556390977444
"Logistic Regression",3,"vote_count",0.00457665903890159,0.0168067226890756
"Logistic Regression",3,"popularity",0.0572082379862699,0.247412008281573
"Decision Tree",3,"genre",0.0251716247139588,0.0860335195530726
"Decision Tree",3,"year",0.00686498855835238,0.0136125654450262
"Decision Tree",3,"runtime",0,0
"Decision Tree",3,"rating",0.00800915331807783,0.0129870129870129
"Decision Tree",3,"vote_count",0.028604118993135,0.131531531531531
"Decision Tree",3,"popularity",0.0778032036613272,0.348299319727891
"Random Forest",3,"genre",0.0183066361556063,0.0493042930811293
"Random Forest",3,"year",0.00114416475972534,0.00583843260540062
"Random Forest",3,"runtime",0.00800915331807772,0.0286101404834914
"Random Forest",3,"rating",0.00572082379862693,0.0278126216531857
"Random Forest",3,"vote_count",0.0205949656750571,0.0671478517484755
"Random Forest",3,"popularity",0.080091533180778,0.312194045932349
"XGBoost",3,"genre",0.0160183066361556,0.0510885592852804
"XGBoost",3,"year",0.0125858123569794,0.0347390669106485
"XGBoost",3,"runtime",0.00686498855835238,0.0292306357880127
"XGBoost",3,"rating",0.00686498855835238,0.0224441030892644
"XGBoost",3,"vote_count",0.0263157894736842,0.0821498189919242
"XGBoost",3,"popularity",0.105263157894737,0.372796818656691
"Logistic Regression",4,"genre",0.0229095074455899,0.0951293759512937
"Logistic Regression",4,"year",0.00572737686139746,0.0182149362477231
"Logistic Regression",4,"runtime",0.00687285223367695,0.0311111111111111
"Logistic Regression",4,"rating",0.00458190148911797,0.0244444444444444
"Logistic Regression",4,"vote_count",0.00916380297823605,0.0299707602339181
"Logistic Regression",4,"popularity",0.0641466208476518,0.234654234654235
"Decision Tree",4,"genre",-0.00229095074455898,0.0113981762917933
"Decision Tree",4,"year",0.0114547537227949,0.0192031586503948
"Decision Tree",4,"runtime",0,0
"Decision Tree",4,"rating",0,0
"Decision Tree",4,"vote_count",0.0114547537227949,0.0626984126984126
"Decision Tree",4,"popularity",0.107674684994273,0.336554621848739
"Random Forest",4,"genre",0.00343642611683848,0.0304709141274239
"Random Forest",4,"year",0.0114547537227949,0.0310750279955208
"Random Forest",4,"runtime",0.00229095074455898,0.0144312393887946
"Random Forest",4,"rating",-0.0103092783505154,-0.0183859649122807
"Random Forest",4,"vote_count",0.0171821305841924,0.0583994232155732
"Random Forest",4,"popularity",0.0687285223367697,0.302631578947368
"XGBoost",4,"genre",0.00801832760595655,0.022114339540613
"XGBoost",4,"year",0.0217640320733105,0.045051562477836
"XGBoost",4,"runtime",0,0.0021245384187365
"XGBoost",4,"rating",0.00343642611683848,0.0157341888981674
"XGBoost",4,"vote_count",0.018327605956472,0.0650530529018616
"XGBoost",4,"popularity",0.0939289805269187,0.371784410949815
"Logistic Regression",5,"genre",0.020618556701031,0.103277591973244
"Logistic Regression",5,"year",0,-0.00302987532345333
"Logistic Regression",5,"runtime",0,-0.00302987532345333
"Logistic Regression",5,"rating",0.00801832760595644,0.0396472317491425
"Logistic Regression",5,"vote_count",0.0114547537227949,0.0373256649892163
"Logistic Regression",5,"popularity",0.0721649484536082,0.287832167832168
"Decision Tree",5,"genre",0.00572737686139746,0.0390632446048063
"Decision Tree",5,"year",0.0148911798396335,0.0298740554156169
"Decision Tree",5,"runtime",0,0
"Decision Tree",5,"rating",-0.00114547537227949,-0.00684236249483072
"Decision Tree",5,"vote_count",0.0297823596792669,0.106937767326974
"Decision Tree",5,"popularity",0.123711340206186,0.434001039542601
"Random Forest",5,"genre",0.0137457044673539,0.0420024420024421
"Random Forest",5,"year",0.0148911798396334,0.0398473589074112
"Random Forest",5,"runtime",0.0148911798396334,0.0342495550721773
"Random Forest",5,"rating",0.00572737686139746,0.0136840023729485
"Random Forest",5,"vote_count",0.0400916380297823,0.0951048951048953
"Random Forest",5,"popularity",0.116838487972509,0.376309579990562
"XGBoost",5,"genre",0.0114547537227949,0.0474621148104334
"XGBoost",5,"year",0.0183276059564719,0.0412371134020619
"XGBoost",5,"runtime",0.00916380297823594,0.0243234536082476
"XGBoost",5,"rating",0.00343642611683848,0.0140298184376438
"XGBoost",5,"vote_count",0.0240549828178694,0.0551293321612192
"XGBoost",5,"popularity",0.13631156930126,0.395153732200623
"Logistic Regression",6,"genre",0.032,0.140107508236518
"Logistic Regression",6,"year",0.00114285714285711,0.00145749311184762
"Logistic Regression",6,"runtime",-0.00914285714285712,-0.0220511166653229
"Logistic Regression",6,"rating",-0.0102857142857142,-0.023597686739192
"Logistic Regression",6,"vote_count",0.00228571428571434,0.00979601709263889
"Logistic Regression",6,"popularity",0.0640000000000001,0.235997919195422
"Decision Tree",6,"genre",0.0285714285714286,0.10821735952626
"Decision Tree",6,"year",0.0102857142857143,0.0155991332319413
"Decision Tree",6,"runtime",0,0
"Decision Tree",6,"rating",0.00228571428571434,-0.00132239434339076
"Decision Tree",6,"vote_count",0.00114285714285722,0.0321322246175957
"Decision Tree",6,"popularity",0.0788571428571428,0.347038120086151
"Random Forest",6,"genre",0.0205714285714286,0.0637992831541219
"Random Forest",6,"year",0.0171428571428571,0.0366881720430108
"Random Forest",6,"runtime",0.00114285714285711,0.00381126278874311
"Random Forest",6,"rating",0.00342857142857134,-0.00190500381000758
"Random Forest",6,"vote_count",0.00571428571428567,0.026464718672743
"Random Forest",6,"popularity",0.0857142857142856,0.331949844138559
"XGBoost",6,"genre",0.0148571428571428,0.0704277456647399
"XGBoost",6,"year",0.0228571428571428,0.0533333333333332
"XGBoost",6,"runtime",0.00342857142857134,0.0269944134078213
"XGBoost",6,"rating",0.00457142857142856,0.0128257372654156
"XGBoost",6,"vote_count",0.0137142857142857,0.0508969359331476
"XGBoost",6,"popularity",0.0948571428571429,0.32675
